"","ix","learningTaskId","order","trial","learn_agent","learn_recipient","agent","recipient","selection"
"1",14,"learn04","near-first",1,"rc","bs","rc","ys","rs"
"2",14,"learn04","near-first",2,"rc","bs","rc","bd","rd"
"3",14,"learn04","near-first",3,"rc","bs","rc","yd","bd"
"4",14,"learn04","near-first",4,"rc","bs","yc","bs","rs"
"5",14,"learn04","near-first",5,"rc","bs","yc","ys","ys"
"6",14,"learn04","near-first",6,"rc","bs","yc","bd","rd"
"7",14,"learn04","near-first",7,"rc","bs","yc","yd","yd"
"8",14,"learn04","near-first",8,"rc","bs","rd","bs","ys"
"9",14,"learn04","near-first",9,"rc","bs","rd","ys","bc"
"10",14,"learn04","near-first",10,"rc","bs","rd","bd","yd"
"11",14,"learn04","near-first",11,"rc","bs","rd","yd","bd"
"12",14,"learn04","near-first",12,"rc","bs","yd","bs","rs"
"13",14,"learn04","near-first",13,"rc","bs","yd","ys","ys"
"14",14,"learn04","near-first",14,"rc","bs","yd","bd","rd"
"15",14,"learn04","near-first",15,"rc","bs","yd","yd","yd"
"16",15,"learn04","near-first",1,"rc","bs","rc","ys","ys"
"17",15,"learn04","near-first",2,"rc","bs","rc","bd","ys"
"18",15,"learn04","near-first",3,"rc","bs","rc","yd","ys"
"19",15,"learn04","near-first",4,"rc","bs","yc","bs","ys"
"20",15,"learn04","near-first",5,"rc","bs","yc","ys","rs"
"21",15,"learn04","near-first",6,"rc","bs","yc","bd","ys"
"22",15,"learn04","near-first",7,"rc","bs","yc","yd","rs"
"23",15,"learn04","near-first",8,"rc","bs","rd","bs","ys"
"24",15,"learn04","near-first",9,"rc","bs","rd","ys","bs"
"25",15,"learn04","near-first",10,"rc","bs","rd","bd","ys"
"26",15,"learn04","near-first",11,"rc","bs","rd","yd","bd"
"27",15,"learn04","near-first",12,"rc","bs","yd","bs","ys"
"28",15,"learn04","near-first",13,"rc","bs","yd","ys","bs"
"29",15,"learn04","near-first",14,"rc","bs","yd","bd","yd"
"30",15,"learn04","near-first",15,"rc","bs","yd","yd","rd"
"31",16,"learn05","near-first",1,"bs","yc","bs","rc","bs"
"32",16,"learn05","near-first",2,"bs","yc","bs","yd","bs"
"33",16,"learn05","near-first",3,"bs","yc","bs","rd","bs"
"34",16,"learn05","near-first",4,"bs","yc","rs","yc","rs"
"35",16,"learn05","near-first",5,"bs","yc","rs","rc","rs"
"36",16,"learn05","near-first",6,"bs","yc","rs","yd","rs"
"37",16,"learn05","near-first",7,"bs","yc","rs","rd","rs"
"38",16,"learn05","near-first",8,"bs","yc","bd","yc","bs"
"39",16,"learn05","near-first",9,"bs","yc","bd","rc","bs"
"40",16,"learn05","near-first",10,"bs","yc","bd","yd","bs"
"41",16,"learn05","near-first",11,"bs","yc","bd","rd","bs"
"42",16,"learn05","near-first",12,"bs","yc","rd","yc","rd"
"43",16,"learn05","near-first",13,"bs","yc","rd","rc","rd"
"44",16,"learn05","near-first",14,"bs","yc","rd","yd","rd"
"45",16,"learn05","near-first",15,"bs","yc","rd","rd","rd"
"46",19,"learn05","near-first",1,"bs","yc","bs","rc","bs"
"47",19,"learn05","near-first",2,"bs","yc","bs","yd","bs"
"48",19,"learn05","near-first",3,"bs","yc","bs","rd","bs"
"49",19,"learn05","near-first",4,"bs","yc","rs","yc","rs"
"50",19,"learn05","near-first",5,"bs","yc","rs","rc","rs"
"51",19,"learn05","near-first",6,"bs","yc","rs","yd","rs"
"52",19,"learn05","near-first",7,"bs","yc","rs","rd","rs"
"53",19,"learn05","near-first",8,"bs","yc","bd","yc","bd"
"54",19,"learn05","near-first",9,"bs","yc","bd","rc","bd"
"55",19,"learn05","near-first",10,"bs","yc","bd","yd","bd"
"56",19,"learn05","near-first",11,"bs","yc","bd","rd","bd"
"57",19,"learn05","near-first",12,"bs","yc","rd","yc","rd"
"58",19,"learn05","near-first",13,"bs","yc","rd","rc","rd"
"59",19,"learn05","near-first",14,"bs","yc","rd","yd","rd"
"60",19,"learn05","near-first",15,"bs","yc","rd","rd","rd"
"61",20,"learn01","near-first",1,"rs","yc","rs","bc","bs"
"62",20,"learn01","near-first",2,"rs","yc","rs","yd","yc"
"63",20,"learn01","near-first",3,"rs","yc","rs","bd","bc"
"64",20,"learn01","near-first",4,"rs","yc","bs","yc","ys"
"65",20,"learn01","near-first",5,"rs","yc","bs","bc","bs"
"66",20,"learn01","near-first",6,"rs","yc","bs","yd","yc"
"67",20,"learn01","near-first",7,"rs","yc","bs","bd","bc"
"68",20,"learn01","near-first",8,"rs","yc","rd","yc","yd"
"69",20,"learn01","near-first",9,"rs","yc","rd","bc","bd"
"70",20,"learn01","near-first",10,"rs","yc","rd","yd","yd"
"71",20,"learn01","near-first",11,"rs","yc","rd","bd","bd"
"72",20,"learn01","near-first",12,"rs","yc","bd","yc","yd"
"73",20,"learn01","near-first",13,"rs","yc","bd","bc","bd"
"74",20,"learn01","near-first",14,"rs","yc","bd","yd","yd"
"75",20,"learn01","near-first",15,"rs","yc","bd","bd","bd"
"76",21,"learn03","near-first",1,"bs","rd","bs","yd","bd"
"77",21,"learn03","near-first",2,"bs","rd","bs","rc","bc"
"78",21,"learn03","near-first",3,"bs","rd","bs","yc","bc"
"79",21,"learn03","near-first",4,"bs","rd","ys","rd","yd"
"80",21,"learn03","near-first",5,"bs","rd","ys","yd","yd"
"81",21,"learn03","near-first",6,"bs","rd","ys","rc","yc"
"82",21,"learn03","near-first",7,"bs","rd","ys","yc","yc"
"83",21,"learn03","near-first",8,"bs","rd","bc","rd","bd"
"84",21,"learn03","near-first",9,"bs","rd","bc","yd","bd"
"85",21,"learn03","near-first",10,"bs","rd","bc","rc","bc"
"86",21,"learn03","near-first",11,"bs","rd","bc","yc","bc"
"87",21,"learn03","near-first",12,"bs","rd","yc","rd","bd"
"88",21,"learn03","near-first",13,"bs","rd","yc","yd","yd"
"89",21,"learn03","near-first",14,"bs","rd","yc","rc","yc"
"90",21,"learn03","near-first",15,"bs","rd","yc","yc","yc"
"91",22,"learn03","near-first",1,"bs","rd","bs","yd","bd"
"92",22,"learn03","near-first",2,"bs","rd","bs","rc","bc"
"93",22,"learn03","near-first",3,"bs","rd","bs","yc","bc"
"94",22,"learn03","near-first",4,"bs","rd","ys","rd","yd"
"95",22,"learn03","near-first",5,"bs","rd","ys","yd","yd"
"96",22,"learn03","near-first",6,"bs","rd","ys","rc","yc"
"97",22,"learn03","near-first",7,"bs","rd","ys","yc","yc"
"98",22,"learn03","near-first",8,"bs","rd","bc","rd","bd"
"99",22,"learn03","near-first",9,"bs","rd","bc","yd","bd"
"100",22,"learn03","near-first",10,"bs","rd","bc","rc","bc"
"101",22,"learn03","near-first",11,"bs","rd","bc","yc","bc"
"102",22,"learn03","near-first",12,"bs","rd","yc","rd","yd"
"103",22,"learn03","near-first",13,"bs","rd","yc","yd","yd"
"104",22,"learn03","near-first",14,"bs","rd","yc","rc","yc"
"105",22,"learn03","near-first",15,"bs","rd","yc","yc","yc"
"106",23,"learn05","near-first",1,"bs","yc","bs","rc","rs"
"107",23,"learn05","near-first",2,"bs","yc","bs","yd","bs"
"108",23,"learn05","near-first",3,"bs","yc","bs","rd","bs"
"109",23,"learn05","near-first",4,"bs","yc","rs","yc","rs"
"110",23,"learn05","near-first",5,"bs","yc","rs","rc","rs"
"111",23,"learn05","near-first",6,"bs","yc","rs","yd","rs"
"112",23,"learn05","near-first",7,"bs","yc","rs","rd","rs"
"113",23,"learn05","near-first",8,"bs","yc","bd","yc","yd"
"114",23,"learn05","near-first",9,"bs","yc","bd","rc","rd"
"115",23,"learn05","near-first",10,"bs","yc","bd","yd","bd"
"116",23,"learn05","near-first",11,"bs","yc","bd","rd","bs"
"117",23,"learn05","near-first",12,"bs","yc","rd","yc","rd"
"118",23,"learn05","near-first",13,"bs","yc","rd","rc","rd"
"119",23,"learn05","near-first",14,"bs","yc","rd","yd","rd"
"120",23,"learn05","near-first",15,"bs","yc","rd","rd","rd"
"121",25,"learn02","near-first",1,"yd","rs","yd","bs","bc"
"122",25,"learn02","near-first",2,"yd","rs","yd","rc","rd"
"123",25,"learn02","near-first",3,"yd","rs","yd","bc","bd"
"124",25,"learn02","near-first",4,"yd","rs","bd","rs","rc"
"125",25,"learn02","near-first",5,"yd","rs","bd","bs","bc"
"126",25,"learn02","near-first",6,"yd","rs","bd","rc","rd"
"127",25,"learn02","near-first",7,"yd","rs","bd","bc","bd"
"128",25,"learn02","near-first",8,"yd","rs","yc","rs","rc"
"129",25,"learn02","near-first",9,"yd","rs","yc","bs","bc"
"130",25,"learn02","near-first",10,"yd","rs","yc","rc","rd"
"131",25,"learn02","near-first",11,"yd","rs","yc","bc","bs"
"132",25,"learn02","near-first",12,"yd","rs","bc","rs","rd"
"133",25,"learn02","near-first",13,"yd","rs","bc","bs","bd"
"134",25,"learn02","near-first",14,"yd","rs","bc","rc","rs"
"135",25,"learn02","near-first",15,"yd","rs","bc","bc","bs"
"136",27,"learn05","near-first",1,"bs","yc","bs","rc","bs"
"137",27,"learn05","near-first",2,"bs","yc","bs","yd","bs"
"138",27,"learn05","near-first",3,"bs","yc","bs","rd","bs"
"139",27,"learn05","near-first",4,"bs","yc","rs","yc","rs"
"140",27,"learn05","near-first",5,"bs","yc","rs","rc","rc"
"141",27,"learn05","near-first",6,"bs","yc","rs","yd","rs"
"142",27,"learn05","near-first",7,"bs","yc","rs","rd","rc"
"143",27,"learn05","near-first",8,"bs","yc","bd","yc","yc"
"144",27,"learn05","near-first",9,"bs","yc","bd","rc","rc"
"145",27,"learn05","near-first",10,"bs","yc","bd","yd","yd"
"146",27,"learn05","near-first",11,"bs","yc","bd","rd","bs"
"147",27,"learn05","near-first",12,"bs","yc","rd","yc","yc"
"148",27,"learn05","near-first",13,"bs","yc","rd","rc","rc"
"149",27,"learn05","near-first",14,"bs","yc","rd","yd","bs"
"150",27,"learn05","near-first",15,"bs","yc","rd","rd","rd"
"151",28,"learn03","near-first",1,"bs","rd","bs","yd","bs"
"152",28,"learn03","near-first",2,"bs","rd","bs","rc","bc"
"153",28,"learn03","near-first",3,"bs","rd","bs","yc","bc"
"154",28,"learn03","near-first",4,"bs","rd","ys","rd","bd"
"155",28,"learn03","near-first",5,"bs","rd","ys","yd","yd"
"156",28,"learn03","near-first",6,"bs","rd","ys","rc","yc"
"157",28,"learn03","near-first",7,"bs","rd","ys","yc","yc"
"158",28,"learn03","near-first",8,"bs","rd","bc","rd","bd"
"159",28,"learn03","near-first",9,"bs","rd","bc","yd","bd"
"160",28,"learn03","near-first",10,"bs","rd","bc","rc","bc"
"161",28,"learn03","near-first",11,"bs","rd","bc","yc","bc"
"162",28,"learn03","near-first",12,"bs","rd","yc","rd","yd"
"163",28,"learn03","near-first",13,"bs","rd","yc","yd","yd"
"164",28,"learn03","near-first",14,"bs","rd","yc","rc","yc"
"165",28,"learn03","near-first",15,"bs","rd","yc","yc","yc"
"166",29,"learn03","near-first",1,"bs","rd","bs","yd","bs"
"167",29,"learn03","near-first",2,"bs","rd","bs","rc","bc"
"168",29,"learn03","near-first",3,"bs","rd","bs","yc","bc"
"169",29,"learn03","near-first",4,"bs","rd","ys","rd","bs"
"170",29,"learn03","near-first",5,"bs","rd","ys","yd","yd"
"171",29,"learn03","near-first",6,"bs","rd","ys","rc","ys"
"172",29,"learn03","near-first",7,"bs","rd","ys","yc","yc"
"173",29,"learn03","near-first",8,"bs","rd","bc","rd","bs"
"174",29,"learn03","near-first",9,"bs","rd","bc","yd","bd"
"175",29,"learn03","near-first",10,"bs","rd","bc","rc","bc"
"176",29,"learn03","near-first",11,"bs","rd","bc","yc","bc"
"177",29,"learn03","near-first",12,"bs","rd","yc","rd","rd"
"178",29,"learn03","near-first",13,"bs","rd","yc","yd","yd"
"179",29,"learn03","near-first",14,"bs","rd","yc","rc","yc"
"180",29,"learn03","near-first",15,"bs","rd","yc","yc","yc"
"181",30,"learn02","near-first",1,"yd","rs","yd","bs","bc"
"182",30,"learn02","near-first",2,"yd","rs","yd","rc","rs"
"183",30,"learn02","near-first",3,"yd","rs","yd","bc","bd"
"184",30,"learn02","near-first",4,"yd","rs","bd","rs","rc"
"185",30,"learn02","near-first",5,"yd","rs","bd","bs","bc"
"186",30,"learn02","near-first",6,"yd","rs","bd","rc","rd"
"187",30,"learn02","near-first",7,"yd","rs","bd","bc","bd"
"188",30,"learn02","near-first",8,"yd","rs","yc","rs","rd"
"189",30,"learn02","near-first",9,"yd","rs","yc","bs","bd"
"190",30,"learn02","near-first",10,"yd","rs","yc","rc","rs"
"191",30,"learn02","near-first",11,"yd","rs","yc","bc","bs"
"192",30,"learn02","near-first",12,"yd","rs","bc","rs","rd"
"193",30,"learn02","near-first",13,"yd","rs","bc","bs","bd"
"194",30,"learn02","near-first",14,"yd","rs","bc","rc","rs"
"195",30,"learn02","near-first",15,"yd","rs","bc","bc","bs"
"196",31,"learn04","near-first",1,"rc","bs","rc","ys","bc"
"197",31,"learn04","near-first",2,"rc","bs","rc","bd","bc"
"198",31,"learn04","near-first",3,"rc","bs","rc","yd","rc"
"199",31,"learn04","near-first",4,"rc","bs","yc","bs","ys"
"200",31,"learn04","near-first",5,"rc","bs","yc","ys","rc"
"201",31,"learn04","near-first",6,"rc","bs","yc","bd","yd"
"202",31,"learn04","near-first",7,"rc","bs","yc","yd","yd"
"203",31,"learn04","near-first",8,"rc","bs","rd","bs","rd"
"204",31,"learn04","near-first",9,"rc","bs","rd","ys","rc"
"205",31,"learn04","near-first",10,"rc","bs","rd","bd","yd"
"206",31,"learn04","near-first",11,"rc","bs","rd","yd","bd"
"207",31,"learn04","near-first",12,"rc","bs","yd","bs","rs"
"208",31,"learn04","near-first",13,"rc","bs","yd","ys","rs"
"209",31,"learn04","near-first",14,"rc","bs","yd","bd","rd"
"210",31,"learn04","near-first",15,"rc","bs","yd","yd","bd"
"211",32,"learn03","near-first",1,"bs","rd","bs","yd","bd"
"212",32,"learn03","near-first",2,"bs","rd","bs","rc","bd"
"213",32,"learn03","near-first",3,"bs","rd","bs","yc","bc"
"214",32,"learn03","near-first",4,"bs","rd","ys","rd","yd"
"215",32,"learn03","near-first",5,"bs","rd","ys","yd","yd"
"216",32,"learn03","near-first",6,"bs","rd","ys","rc","yc"
"217",32,"learn03","near-first",7,"bs","rd","ys","yc","yc"
"218",32,"learn03","near-first",8,"bs","rd","bc","rd","bd"
"219",32,"learn03","near-first",9,"bs","rd","bc","yd","bd"
"220",32,"learn03","near-first",10,"bs","rd","bc","rc","bc"
"221",32,"learn03","near-first",11,"bs","rd","bc","yc","bc"
"222",32,"learn03","near-first",12,"bs","rd","yc","rd","yd"
"223",32,"learn03","near-first",13,"bs","rd","yc","yd","yd"
"224",32,"learn03","near-first",14,"bs","rd","yc","rc","yc"
"225",32,"learn03","near-first",15,"bs","rd","yc","yc","yc"
"226",33,"learn03","near-first",1,"bs","rd","bs","yd","bd"
"227",33,"learn03","near-first",2,"bs","rd","bs","rc","bc"
"228",33,"learn03","near-first",3,"bs","rd","bs","yc","bc"
"229",33,"learn03","near-first",4,"bs","rd","ys","rd","yd"
"230",33,"learn03","near-first",5,"bs","rd","ys","yd","yd"
"231",33,"learn03","near-first",6,"bs","rd","ys","rc","yc"
"232",33,"learn03","near-first",7,"bs","rd","ys","yc","yc"
"233",33,"learn03","near-first",8,"bs","rd","bc","rd","bd"
"234",33,"learn03","near-first",9,"bs","rd","bc","yd","bd"
"235",33,"learn03","near-first",10,"bs","rd","bc","rc","bc"
"236",33,"learn03","near-first",11,"bs","rd","bc","yc","bc"
"237",33,"learn03","near-first",12,"bs","rd","yc","rd","yd"
"238",33,"learn03","near-first",13,"bs","rd","yc","yd","yd"
"239",33,"learn03","near-first",14,"bs","rd","yc","rc","yc"
"240",33,"learn03","near-first",15,"bs","rd","yc","yc","yc"
"241",34,"learn05","near-first",1,"bs","yc","bs","rc","bs"
"242",34,"learn05","near-first",2,"bs","yc","bs","yd","bs"
"243",34,"learn05","near-first",3,"bs","yc","bs","rd","rd"
"244",34,"learn05","near-first",4,"bs","yc","rs","yc","yc"
"245",34,"learn05","near-first",5,"bs","yc","rs","rc","rc"
"246",34,"learn05","near-first",6,"bs","yc","rs","yd","rs"
"247",34,"learn05","near-first",7,"bs","yc","rs","rd","rs"
"248",34,"learn05","near-first",8,"bs","yc","bd","yc","bd"
"249",34,"learn05","near-first",9,"bs","yc","bd","rc","bs"
"250",34,"learn05","near-first",10,"bs","yc","bd","yd","bd"
"251",34,"learn05","near-first",11,"bs","yc","bd","rd","bd"
"252",34,"learn05","near-first",12,"bs","yc","rd","yc","rd"
"253",34,"learn05","near-first",13,"bs","yc","rd","rc","rd"
"254",34,"learn05","near-first",14,"bs","yc","rd","yd","rd"
"255",34,"learn05","near-first",15,"bs","yc","rd","rd","rd"
"256",36,"learn04","near-first",1,"rc","bs","rc","ys","bs"
"257",36,"learn04","near-first",2,"rc","bs","rc","bd","yd"
"258",36,"learn04","near-first",3,"rc","bs","rc","yd","bd"
"259",36,"learn04","near-first",4,"rc","bs","yc","bs","ys"
"260",36,"learn04","near-first",5,"rc","bs","yc","ys","bs"
"261",36,"learn04","near-first",6,"rc","bs","yc","bd","yd"
"262",36,"learn04","near-first",7,"rc","bs","yc","yd","bd"
"263",36,"learn04","near-first",8,"rc","bs","rd","bs","ys"
"264",36,"learn04","near-first",9,"rc","bs","rd","ys","bs"
"265",36,"learn04","near-first",10,"rc","bs","rd","bd","ys"
"266",36,"learn04","near-first",11,"rc","bs","rd","yd","bd"
"267",36,"learn04","near-first",12,"rc","bs","yd","bs","ys"
"268",36,"learn04","near-first",13,"rc","bs","yd","ys","bs"
"269",36,"learn04","near-first",14,"rc","bs","yd","bd","yd"
"270",36,"learn04","near-first",15,"rc","bs","yd","yd","bd"
"271",38,"learn04","near-first",1,"rc","bs","rc","ys","rs"
"272",38,"learn04","near-first",2,"rc","bs","rc","bd","yd"
"273",38,"learn04","near-first",3,"rc","bs","rc","yd","rd"
"274",38,"learn04","near-first",4,"rc","bs","yc","bs","rs"
"275",38,"learn04","near-first",5,"rc","bs","yc","ys","bs"
"276",38,"learn04","near-first",6,"rc","bs","yc","bd","rd"
"277",38,"learn04","near-first",7,"rc","bs","yc","yd","bd"
"278",38,"learn04","near-first",8,"rc","bs","rd","bs","ys"
"279",38,"learn04","near-first",9,"rc","bs","rd","ys","rs"
"280",38,"learn04","near-first",10,"rc","bs","rd","bd","yd"
"281",38,"learn04","near-first",11,"rc","bs","rd","yd","rd"
"282",38,"learn04","near-first",12,"rc","bs","yd","bs","rs"
"283",38,"learn04","near-first",13,"rc","bs","yd","ys","bs"
"284",38,"learn04","near-first",14,"rc","bs","yd","bd","rd"
"285",38,"learn04","near-first",15,"rc","bs","yd","yd","bd"
"286",39,"learn04","near-first",1,"rc","bs","rc","ys","bs"
"287",39,"learn04","near-first",2,"rc","bs","rc","bd","yd"
"288",39,"learn04","near-first",3,"rc","bs","rc","yd","bd"
"289",39,"learn04","near-first",4,"rc","bs","yc","bs","ys"
"290",39,"learn04","near-first",5,"rc","bs","yc","ys","bs"
"291",39,"learn04","near-first",6,"rc","bs","yc","bd","yd"
"292",39,"learn04","near-first",7,"rc","bs","yc","yd","bd"
"293",39,"learn04","near-first",8,"rc","bs","rd","bs","ys"
"294",39,"learn04","near-first",9,"rc","bs","rd","ys","bs"
"295",39,"learn04","near-first",10,"rc","bs","rd","bd","yd"
"296",39,"learn04","near-first",11,"rc","bs","rd","yd","bd"
"297",39,"learn04","near-first",12,"rc","bs","yd","bs","rc"
"298",39,"learn04","near-first",13,"rc","bs","yd","ys","rc"
"299",39,"learn04","near-first",14,"rc","bs","yd","bd","rd"
"300",39,"learn04","near-first",15,"rc","bs","yd","yd","bd"
"301",41,"learn05","near-first",1,"bs","yc","bs","rc","bs"
"302",41,"learn05","near-first",2,"bs","yc","bs","yd","bd"
"303",41,"learn05","near-first",3,"bs","yc","bs","rd","bs"
"304",41,"learn05","near-first",4,"bs","yc","rs","yc","rs"
"305",41,"learn05","near-first",5,"bs","yc","rs","rc","rs"
"306",41,"learn05","near-first",6,"bs","yc","rs","yd","rs"
"307",41,"learn05","near-first",7,"bs","yc","rs","rd","rs"
"308",41,"learn05","near-first",8,"bs","yc","bd","yc","bd"
"309",41,"learn05","near-first",9,"bs","yc","bd","rc","bd"
"310",41,"learn05","near-first",10,"bs","yc","bd","yd","bd"
"311",41,"learn05","near-first",11,"bs","yc","bd","rd","bd"
"312",41,"learn05","near-first",12,"bs","yc","rd","yc","rd"
"313",41,"learn05","near-first",13,"bs","yc","rd","rc","rd"
"314",41,"learn05","near-first",14,"bs","yc","rd","yd","rd"
"315",41,"learn05","near-first",15,"bs","yc","rd","rd","rd"
"316",42,"learn02","near-first",1,"yd","rs","yd","bs","yc"
"317",42,"learn02","near-first",2,"yd","rs","yd","rc","rs"
"318",42,"learn02","near-first",3,"yd","rs","yd","bc","bs"
"319",42,"learn02","near-first",4,"yd","rs","bd","rs","rc"
