"","ix","condition","free_response","bot","rule_like","compatible","rule_type","categorization","edge_value","shade_value","note"
"1",51,"B1","The active stone cause inactive stones to five sided stone.",0,1,1,"tacit","universal","constant","unstated",NA
"2",70,"B1","it turns stones into pentagons",0,1,1,"tacit","universal","constant","unstated",NA
"3",52,"B1","The active stone turns the inactive stone into a pentagon if it is not already a pentagon and turns it into a darker shade of blue.",0,1,1,"specific","universal","constant","R",NA
"4",73,"B1","They affect the colors of the other stones, making them become darker, and they also affect their shape, making the three and six sided stones become five sided ones.",0,1,1,"fuzzy","universal","constant","range",NA
"5",54,"B1","The active stone turns all the inactive stones into pentagons regardless of the original shape of the inactive stone, and it darkens the color of the inactive stone by one shade.",0,1,1,"specific","universal","constant","R",NA
"6",77,"B1","It changes the sides of the shapes. If it is triangle it changes to four sides called square",0,1,0,"incompatible","universal",NA,NA,NA
"7",57,"B1","First I think that active stones change all the stones it comes into contact with but depends on what the shape is to how it changes. For example when it hits a six sided shape it always turns into a 5 sided shape. When it hits a 3 sided shape it always turns into a 5 sided shape. Also whatever color the inactive stone was  when it was hit always changes into a darker shade regardless of the shapes. Also whenever an active stone hits a 5 sided shape it always stays the same.",0,1,1,"specific","R","constant","R",NA
"8",58,"B1","the inactive stone will become a pentagon when near a glowing stone.  In addition, it will darken a bit.",0,1,1,"specific","universal","constant","R",NA
"9",81,"B1","Inactive hexagon converts into pentagon on activation. Triangle converts into pentagon on activation. Pentagon remains unchanged.",0,1,1,"tacit","R","constant","unstated",NA
"10",87,"B1","The active stone causes the other stones to change into a pentagon shape, unless it is already a pentagon shape, in which case it makes it darker.",0,1,1,"fuzzy","R","constant","range",NA
"11",78,"B1","if the active stone hits an inactive stone, the inactive stone shade becomes 1 shade darker and turns into a hexagon",0,1,0,"incompatible","universal",NA,NA,"Typo"
"12",95,"B1","This active square stone will always turn the other inactive stone into a pentagon of darker shade. The shape of the inactive stone does not matter in this case. The original shade of the inactive stone determines the shade of the stone it transforms into; the lighter the original is, the lighter the resulting stone will be, although darker.",0,1,1,"fuzzy","R","constant","range",NA
"13",181,"B1","Mysterious stone will work based on the active stone. Once we test with active stone then second will vary with different color like lighter and darker.",0,1,1,"tacit","universal","unstated","range",NA
"14",191,"B1","It will be different colors and shapes",0,1,1,"fuzzy","universal","range","range",NA
"15",215,"B1","Mysterious stone change the structure of the stone to pentagon and also the color of the stone.",0,1,1,"fuzzy","universal","constant","range",NA
"16",170,"B1","The active stone, upon colliding with the inactive stone, will convert the number of sides of the inactive stone to n+1, where n is the number of sides of the active stone. In this case, the inactive stone always had 5 sides after the collision as the active stone had 4. After impact, the inactive stone will always be one shade darker than before the interaction.",0,1,1,"specific","universal","A","R",NA
"17",85,"B1","When the active stone hits an inactive stone, no matter what shape it is it will make the color of the inactive stone a darker shade than before. If the inactive stone is any shape besides a pentagon, if it gets hit it will turn into a pentagon. If the inactive stone is a pentagon, it stays the same shape, but still changes to a darker color.",0,1,1,"specific","R","constant","R",NA
"18",97,"B1","when the active square bumps into whatever inactive stone is next to it, it turns it into a pentagon that's a shade darker than the previous stone before it.",0,1,1,"specific","universal","constant","R",NA
