"","ix","condition","phase","tid","sid","agent","recipient","result"
"1",50,"B2","learn","learn-01","A2-learn-04",53,42,63
"2",50,"B2","learn","learn-02","A2-learn-05",61,42,73
"3",50,"B2","learn","learn-03","A2-learn-01",31,42,43
"4",50,"B2","learn","learn-04","A2-learn-06",62,42,73
"5",50,"B2","learn","learn-05","A2-learn-02",33,42,43
"6",50,"B2","learn","learn-06","A2-learn-03",52,42,63
"7",50,"B2","gen","gen-01","A2-gen-01",32,32,33
"8",50,"B2","gen","gen-02","A2-gen-16",63,61,63
"9",50,"B2","gen","gen-03","A2-gen-04",32,61,63
"10",50,"B2","gen","gen-04","A2-gen-11",51,43,63
"11",50,"B2","gen","gen-05","A2-gen-13",63,32,73
"12",50,"B2","gen","gen-06","A2-gen-12",51,61,63
"13",50,"B2","gen","gen-07","A2-gen-10",51,42,63
"14",50,"B2","gen","gen-08","A2-gen-03",32,43,43
"15",50,"B2","gen","gen-09","A2-gen-02",32,42,43
"16",50,"B2","gen","gen-10","A2-learn-05",61,42,73
"17",50,"B2","gen","gen-11","A2-gen-07",41,43,43
"18",50,"B2","gen","gen-12","A2-gen-08",41,61,63
"19",50,"B2","gen","gen-13","A2-gen-06",41,42,43
"20",50,"B2","gen","gen-14","A2-gen-05",41,32,53
"21",50,"B2","gen","gen-15","A2-gen-15",63,43,73
"22",50,"B2","gen","gen-16","A2-gen-09",51,32,63
"23",50,"B2","gen","gen-17","A2-gen-14",63,42,73
"24",50,"B2","gen","gen-18","A2-learn-06",62,42,73
"25",51,"B1","learn","learn-01","A1-learn-02",42,33,54
"26",51,"B1","learn","learn-02","A1-learn-01",42,31,52
"27",51,"B1","learn","learn-03","A1-learn-03",42,52,53
"28",51,"B1","learn","learn-04","A1-learn-05",42,61,52
"29",51,"B1","learn","learn-05","A1-learn-06",42,62,53
"30",51,"B1","learn","learn-06","A1-learn-04",42,53,54
"31",51,"B1","gen","gen-01","A1-gen-04",32,63,41
"32",51,"B1","gen","gen-02","A1-gen-16",61,63,71
"33",51,"B1","gen","gen-03","A1-gen-12",43,63,54
"34",51,"B1","gen","gen-04","A1-gen-15",61,51,72
"35",51,"B1","gen","gen-05","A1-gen-13",61,32,72
"36",51,"B1","gen","gen-06","A1-gen-10",43,41,43
"37",51,"B1","gen","gen-07","A1-learn-04",42,53,62
"38",51,"B1","gen","gen-08","A1-learn-03",42,52,53
"39",51,"B1","gen","gen-09","A1-gen-07",42,51,52
"40",51,"B1","gen","gen-10","A1-gen-03",32,51,42
"41",51,"B1","gen","gen-11","A1-gen-14",61,41,73
"42",51,"B1","gen","gen-12","A1-gen-06",42,41,52
"43",51,"B1","gen","gen-13","A1-gen-08",42,63,74
"44",51,"B1","gen","gen-14","A1-gen-09",43,32,42
"45",51,"B1","gen","gen-15","A1-gen-05",42,32,43
"46",51,"B1","gen","gen-16","A1-gen-11",43,51,62
"47",51,"B1","gen","gen-17","A1-gen-02",32,41,42
"48",51,"B1","gen","gen-18","A1-gen-01",32,32,43
"49",52,"B1","learn","learn-01","A1-learn-01",42,31,52
"50",52,"B1","learn","learn-02","A1-learn-05",42,61,52
"51",52,"B1","learn","learn-03","A1-learn-03",42,52,53
"52",52,"B1","learn","learn-04","A1-learn-04",42,53,54
"53",52,"B1","learn","learn-05","A1-learn-06",42,62,53
"54",52,"B1","learn","learn-06","A1-learn-02",42,33,54
"55",52,"B1","gen","gen-01","A1-gen-07",42,51,52
"56",52,"B1","gen","gen-02","A1-gen-06",42,41,52
"57",52,"B1","gen","gen-03","A1-gen-10",43,41,52
"58",52,"B1","gen","gen-04","A1-gen-02",32,41,42
"59",52,"B1","gen","gen-05","A1-gen-09",43,32,54
"60",52,"B1","gen","gen-06","A1-gen-08",42,63,54
"61",52,"B1","gen","gen-07","A1-gen-05",42,32,53
"62",52,"B1","gen","gen-08","A1-gen-12",43,63,54
"63",52,"B1","gen","gen-09","A1-learn-03",42,52,53
"64",52,"B1","gen","gen-10","A1-gen-01",32,32,43
"65",52,"B1","gen","gen-11","A1-gen-11",43,51,53
"66",52,"B1","gen","gen-12","A1-gen-15",61,51,71
"67",52,"B1","gen","gen-13","A1-learn-01",42,31,52
"68",52,"B1","gen","gen-14","A1-gen-03",32,51,42
