"learningTaskId","phase","trial","agent","recipient","result"
"learn01","learn",1,"rs","yc","ys"
"learn01","gen",1,"rs","bc",""
"learn01","gen",2,"rs","yd",""
"learn01","gen",3,"rs","bd",""
"learn01","gen",4,"bs","yc",""
"learn01","gen",5,"bs","bc",""
"learn01","gen",6,"bs","yd",""
"learn01","gen",7,"bs","bd",""
"learn01","gen",8,"rd","yc",""
"learn01","gen",9,"rd","bc",""
"learn01","gen",10,"rd","yd",""
"learn01","gen",11,"rd","bd",""
"learn01","gen",12,"bd","yc",""
"learn01","gen",13,"bd","bc",""
"learn01","gen",14,"bd","yd",""
"learn01","gen",15,"bd","bd",""
"learn02","learn",1,"yd","rs","rc"
"learn02","gen",1,"yd","bs",""
"learn02","gen",2,"yd","rc",""
"learn02","gen",3,"yd","bc",""
"learn02","gen",4,"bd","rs",""
"learn02","gen",5,"bd","bs",""
"learn02","gen",6,"bd","rc",""
"learn02","gen",7,"bd","bc",""
"learn02","gen",8,"yc","rs",""
"learn02","gen",9,"yc","bs",""
"learn02","gen",10,"yc","rc",""
"learn02","gen",11,"yc","bc",""
"learn02","gen",12,"bc","rs",""
"learn02","gen",13,"bc","bs",""
"learn02","gen",14,"bc","rc",""
"learn02","gen",15,"bc","bc",""
"learn03","learn",1,"bs","rd","bd"
"learn03","gen",1,"bs","yd",""
"learn03","gen",2,"bs","rc",""
"learn03","gen",3,"bs","yc",""
"learn03","gen",4,"ys","rd",""
"learn03","gen",5,"ys","yd",""
"learn03","gen",6,"ys","rc",""
"learn03","gen",7,"ys","yc",""
"learn03","gen",8,"bc","rd",""
"learn03","gen",9,"bc","yd",""
"learn03","gen",10,"bc","rc",""
"learn03","gen",11,"bc","yc",""
"learn03","gen",12,"yc","rd",""
"learn03","gen",13,"yc","yd",""
"learn03","gen",14,"yc","rc",""
"learn03","gen",15,"yc","yc",""
"learn04","learn",1,"rc","bs","ys"
"learn04","gen",1,"rc","ys",""
"learn04","gen",2,"rc","bd",""
"learn04","gen",3,"rc","yd",""
"learn04","gen",4,"yc","bs",""
"learn04","gen",5,"yc","ys",""
"learn04","gen",6,"yc","bd",""
"learn04","gen",7,"yc","yd",""
"learn04","gen",8,"rd","bs",""
"learn04","gen",9,"rd","ys",""
"learn04","gen",10,"rd","bd",""
"learn04","gen",11,"rd","yd",""
"learn04","gen",12,"yd","bs",""
"learn04","gen",13,"yd","ys",""
"learn04","gen",14,"yd","bd",""
"learn04","gen",15,"yd","yd",""
"learn05","learn",1,"bs","yc","bs"
"learn05","gen",1,"bs","rc",""
"learn05","gen",2,"bs","yd",""
"learn05","gen",3,"bs","rd",""
"learn05","gen",4,"rs","yc",""
"learn05","gen",5,"rs","rc",""
"learn05","gen",6,"rs","yd",""
"learn05","gen",7,"rs","rd",""
"learn05","gen",8,"bd","yc",""
"learn05","gen",9,"bd","rc",""
"learn05","gen",10,"bd","yd",""
"learn05","gen",11,"bd","rd",""
"learn05","gen",12,"rd","yc",""
"learn05","gen",13,"rd","rc",""
"learn05","gen",14,"rd","yd",""
"learn05","gen",15,"rd","rd",""
"learn06","learn",1,"yd","ys","bc"
"learn06","gen",1,"rd","bs",""
"learn06","gen",2,"rd","yc",""
"learn06","gen",3,"rd","bc",""
"learn06","gen",4,"bd","ys",""
"learn06","gen",5,"bd","bs",""
"learn06","gen",6,"bd","yc",""
"learn06","gen",7,"bd","bc",""
"learn06","gen",8,"rc","ys",""
"learn06","gen",9,"rc","bs",""
"learn06","gen",10,"rc","yc",""
"learn06","gen",11,"rc","bc",""
"learn06","gen",12,"bc","ys",""
"learn06","gen",13,"bc","bs",""
"learn06","gen",14,"bc","yc",""
"learn06","gen",15,"bc","bc",""
