condition,phase,task,agent,recipient,result,sid
A1,gen,1,32,32,0,A1-gen-01
A1,gen,2,32,41,0,A1-gen-02
A1,gen,3,32,51,0,A1-gen-03
A1,gen,4,32,63,0,A1-gen-04
A1,gen,5,42,32,0,A1-gen-05
A1,gen,6,42,41,0,A1-gen-06
A1,gen,7,42,51,0,A1-gen-07
A1,gen,8,42,63,0,A1-gen-08
A1,gen,9,43,32,0,A1-gen-09
A1,gen,10,43,41,0,A1-gen-10
A1,gen,11,43,51,0,A1-gen-11
A1,gen,12,43,63,0,A1-gen-12
A1,gen,13,61,32,0,A1-gen-13
A1,gen,14,61,41,0,A1-gen-14
A1,gen,15,61,51,0,A1-gen-15
A1,gen,16,61,63,0,A1-gen-16
A1,learn,1,42,31,52,A1-learn-01
A1,learn,2,42,33,54,A1-learn-02
A1,learn,3,42,52,53,A1-learn-03
A1,learn,4,42,53,54,A1-learn-04
A1,learn,5,42,61,52,A1-learn-05
A1,learn,6,42,62,53,A1-learn-06
A2,gen,1,32,32,0,A2-gen-01
A2,gen,2,32,42,0,A2-gen-02
A2,gen,3,32,43,0,A2-gen-03
A2,gen,4,32,61,0,A2-gen-04
A2,gen,5,41,32,0,A2-gen-05
A2,gen,6,41,42,0,A2-gen-06
A2,gen,7,41,43,0,A2-gen-07
A2,gen,8,41,61,0,A2-gen-08
A2,gen,9,51,32,0,A2-gen-09
A2,gen,10,51,42,0,A2-gen-10
A2,gen,11,51,43,0,A2-gen-11
A2,gen,12,51,61,0,A2-gen-12
A2,gen,13,63,32,0,A2-gen-13
A2,gen,14,63,42,0,A2-gen-14
A2,gen,15,63,43,0,A2-gen-15
A2,gen,16,63,61,0,A2-gen-16
A2,learn,1,31,42,43,A2-learn-01
A2,learn,2,33,42,43,A2-learn-02
A2,learn,3,52,42,63,A2-learn-03
A2,learn,4,53,42,63,A2-learn-04
A2,learn,5,61,42,73,A2-learn-05
A2,learn,6,62,42,73,A2-learn-06
A3,gen,1,32,32,0,A3-gen-01
A3,gen,2,32,41,0,A3-gen-02
A3,gen,3,32,51,0,A3-gen-03
A3,gen,4,32,63,0,A3-gen-04
A3,gen,5,42,32,0,A3-gen-05
A3,gen,6,42,41,0,A3-gen-06
A3,gen,7,42,51,0,A3-gen-07
A3,gen,8,42,63,0,A3-gen-08
A3,gen,9,43,32,0,A3-gen-09
A3,gen,10,43,41,0,A3-gen-10
A3,gen,11,43,51,0,A3-gen-11
A3,gen,12,43,63,0,A3-gen-12
A3,gen,13,61,32,0,A3-gen-13
A3,gen,14,61,41,0,A3-gen-14
A3,gen,15,61,51,0,A3-gen-15
A3,gen,16,61,63,0,A3-gen-16
A3,learn,1,42,31,43,A3-learn-01
A3,learn,2,42,33,43,A3-learn-02
A3,learn,3,42,52,63,A3-learn-03
A3,learn,4,42,53,63,A3-learn-04
A3,learn,5,42,61,73,A3-learn-05
A3,learn,6,42,62,73,A3-learn-06
A4,gen,1,32,32,0,A4-gen-01
A4,gen,2,32,42,0,A4-gen-02
A4,gen,3,32,43,0,A4-gen-03
A4,gen,4,32,61,0,A4-gen-04
A4,gen,5,41,32,0,A4-gen-05
A4,gen,6,41,42,0,A4-gen-06
A4,gen,7,41,43,0,A4-gen-07
A4,gen,8,41,61,0,A4-gen-08
A4,gen,9,51,32,0,A4-gen-09
A4,gen,10,51,42,0,A4-gen-10
A4,gen,11,51,43,0,A4-gen-11
A4,gen,12,51,61,0,A4-gen-12
A4,gen,13,63,32,0,A4-gen-13
A4,gen,14,63,42,0,A4-gen-14
A4,gen,15,63,43,0,A4-gen-15
A4,gen,16,63,61,0,A4-gen-16
A4,learn,1,31,42,52,A4-learn-01
A4,learn,2,33,42,54,A4-learn-02
A4,learn,3,52,42,53,A4-learn-03
A4,learn,4,53,42,54,A4-learn-04
A4,learn,5,61,42,52,A4-learn-05
A4,learn,6,62,42,53,A4-learn-06
